法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
コウエキザイダンホウジンサガミハラシキンロウシャフクシサービスセンター,公益財団法人相模原市勤労者福祉サービスセンター,https://www.ajisaimeitsu.or.jp,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンタカサキザイダン,公益財団法人高崎財団,http://www.takasaki-foundation.or.jp/,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンフクシマシシンコウコウシャ,公益財団法人福島市振興公社,http://www.f-shinkoukousha.or.jp/,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンショウナンサンギョウシンコウザイダン,公益財団法人湘南産業振興財団,http://www.shonan.or.jp/,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業"
コウエキザイダンホウジンフジシシンコウコウシャ,公益財団法人富士市振興公社,https://www.fuji-kousya.jp/,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンゼンロウレンカイカン,公益財団法人全労連会館,http://www.zenrouren-kaikan.jp/index.html,"文化及び芸術の振興を目的とする事業
勤労者の福祉の向上を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業"
コウエキシャダンホウジンソーシャルサイエンスラボ,公益社団法人ソーシャル・サイエンス・ラボ,https://www.s-s-l.jp/,"文化及び芸術の振興を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンニホンシュウキョウレンメイ,公益財団法人日本宗教連盟,http://www.jaoro.or.jp/,"文化及び芸術の振興を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業"
コウエキザイダンホウジンサカタキネンジャーナリズムシンコウザイダン,公益財団法人坂田記念ジャーナリズム振興財団,http://www.koekizaidan-sakatakinen.jp,"文化及び芸術の振興を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンニホンセンモンシンブンキョウカイ,公益社団法人日本専門新聞協会,http://www.senmonshinbun.or.jp,"文化及び芸術の振興を目的とする事業
思想及び良心の自由、信教の自由又は表現の自由の尊重又は擁護を目的とする事業
男女共同参画社会の形成その他のより良い社会の形成の推進を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業"
イッパンザイダンホウジンイワテケンキョウショクインゴジョカイ,一般財団法人岩手県教職員互助会,http://www.ik-gojyokai.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　イブキサンロクマイバラスポーツブンカシンコウジギョウダン,公益財団法人伊吹山麓まいばらスポーツ文化振興事業団,http://joyibuki.info/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　ウメワカケンノウカイ,公益財団法人梅若研能会,http://www1.interq.or.jp/~makio-u/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　オオイズミマチスポーツブンカシンコウジギョウダン,公益財団法人大泉町スポーツ文化振興事業団,http://www.bunkamura.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　コウチケンブンキョウキョウカイ,公益財団法人高知県文教協会,https://www.kochi-bunkyo.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　セイフウエン,公益財団法人清風苑,http://www.seifuen.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジン　ムサシノブンカショウガイガクシュウジギョウダン,公益財団法人武蔵野文化生涯学習事業団,https://www.musashino.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンアイキカイ,公益財団法人合気会,http://www.aikikai.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンアイスタイルゲイジュツスポーツシンコウザイダン,公益財団法人アイスタイル芸術スポーツ振興財団,http://istyle-found.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンアヅチチョウブンゲイノサトシンコウジギョウダン,公益財団法人安土町文芸の郷振興事業団,http://bungei.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンイタミブンカ・スポーツザイダン,公益財団法人いたみ文化・スポーツ財団,http://www.itami-cs.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンウエムラキネンザイダン,公益財団法人植村記念財団,http://www.uemura-museum-tokyo.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンエスジーエイチブンカスポーツシンコウザイダン,公益財団法人SGH文化スポーツ振興財団,http://www.sagawa-artmuseum.or.jp/cgi-bin/index.cgi,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンエネルギアブンカスポーツザイダン,公益財団法人エネルギア文化・スポーツ財団,https://www.energia-zaidan.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンオオダシタイイク・コウエン・ブンカジギョウダン,公益財団法人大田市体育・公園・文化事業団,http://ohda-hall.jp/zaidan_top.html,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンオキノシマチョウキョウイクブンカシンコウザイダン,公益財団法人隠岐の島町教育文化振興財団,https://www.zaidan-oki.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカガワジギョウダンウンチュウシャ,公益財団法人賀川事業団雲柱社,https://t-kagawa.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカヌマブンカ・スポーツシンコウザイダン,公益財団法人かぬま文化・スポーツ振興財団,"http://www.bc9.ne.jp/~kousya,http://www.bc9.ne.jp/~forest","文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカマダキョウサイカイ,公益財団法人鎌田共済会,https://www.kamahaku.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカミスシブンカスポーツシンコウコウシャ,公益財団法人神栖市文化・スポーツ振興公社,http://www.k-bssk.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカミノヤマジョウキョウドシリョウカン,公益財団法人上山城郷土資料館,http://kaminoyama-castle.info,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンカワニシシブンカスポーツシンコウザイダン,公益財団法人川西市文化・スポーツ振興財団,http://www.kawanishi-bunka-sports.com,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンキヌタニコウジビジュツザイダン,公益財団法人絹谷幸二美術財団,https://kinutani-art.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンクニタチブンカスポーツシンコウザイダン,公益財団法人くにたち文化・スポーツ振興財団,http://www.kuzaidan.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンケイティエヌスポーツブンカシンコウザイダン,公益財団法人ＫＴＮスポーツ・文化振興財団,http://www.ktn.co.jp/sports/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンゴウツシキョウイクブンカザイダン,公益財団法人江津市教育文化財団,http://www.gotsu-zaidan.org,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンコクサイブンカカレッジ,公益財団法人国際文化カレッジ,https://www.kokusai-bc.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンサイタマケンマイゾウブンカザイチョウサジギョウダン,公益財団法人埼玉県埋蔵文化財調査事業団,https://www.saimaibun.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンザマシスポーツブンカシンコウザイダン,公益財団法人座間市スポーツ・文化振興財団,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンジェイアールトウカイブンカザイダン,公益財団法人ＪＲ東海文化財団,https://www.jrtf.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンシモノセキシブンカシンコウザイダン,公益財団法人下関市文化振興財団,http://scpf.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンショドウゲイジュツイン,公益財団法人書道芸術院,http://www.lincs.co.jp/shogei,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンセイランカン,公益財団法人晴嵐館,http://seirankan.blush.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンセンダイシシミンブンカジギョウダン,公益財団法人仙台市市民文化事業団,https://ssbj.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンタカツキシブンカスポーツシンコウジギョウダン,公益財団法人高槻市文化スポーツ振興事業団,https://www.takatsuki-bsj.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンタカヤマヒコクロウセンセイシセキケンショウカイ,公益財団法人高山彦九郎先生史蹟顕彰会,http://www.kurume-hotomeki.jp/hikokuro/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンチガサキシブンカスポーツシンコウザイダン,公益財団法人茅ヶ崎市文化・スポーツ振興財団,http://www.chigasaki-arts.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンテンドウシブンカスポーツシンコウジギョウダン,公益財団法人天童市文化・スポーツ振興事業団,https://tendocity-sports.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジントウカイムラブンカ・スポーツシンコウザイダン,公益財団法人東海村文化・スポーツ振興財団,http://www.tokai-cs.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジントウキョウトキョウイクシエンキコウ,公益財団法人東京都教育支援機構,https://www.tepro.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンナガサキマツシタザイダン,公益財団法人長崎松下財団,https://n-mf.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンナガハマブンカスポーツシンコウジギョウダン,公益財団法人長浜文化スポーツ振興事業団,https://nagahama-bunspo.com/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンナカマシブンカシンコウザイダン,公益財団法人中間市文化振興財団,http://www.harmonyhall.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンニイガタケンマイゾウブンカザイチョウサジギョウダン,公益財団法人新潟県埋蔵文化財調査事業団,https://www.maibun.net/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンニホンキイン,公益財団法人日本棋院,https://www.nihonkiin.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンニホンケンコウスポーツレンメイ,公益財団法人日本健康スポーツ連盟,http://www.kenspo.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンニホンシュコウゲイサッカレンゴウカイ,公益財団法人日本手工芸作家連合会,http://www.syukogei-sakka.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンハコダテシブンカ・スポーツシンコウザイダン,公益財団法人函館市文化・スポーツ振興財団,https://www.zaidan-hakodate.com,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンハコネマチブンカスポーツザイダン,公益財団法人箱根町文化・スポーツ財団,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンヒガシキョウイクザイダン,公益財団法人東教育財団,http://www.higashikyouiku.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンヒョウゴケンケンドウレンメイ,公益財団法人兵庫県剣道連盟,http://www.hyogo-kendo.org,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンマツヤマイクエイカイ,公益財団法人松山育英会,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンミタカシスポーツトブンカザイダン,公益財団法人三鷹市スポーツと文化財団,https://mitaka-sportsandculture.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンモリヤマシブンカタイイクシンコウジギョウダン,公益財団法人守山市文化体育振興事業団,http://www.moriyamabuntai.com/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンヨコスカシショウガイガクシュウザイダン,公益財団法人横須賀市生涯学習財団,http://manabikan.net/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジンワコースポーツブンカシンコウザイダン,公益財団法人ワコースポーツ・文化振興財団,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジン　イムラアーティスティックスイミングクラブ,公益社団法人井村アーティスティックスイミングクラブ,https://www.imura-artisticswimming.info/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンコクミンブンカケンキュウカイ,公益社団法人国民文化研究会,http://www.kokubunken.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンドクショスイシンウンドウキョウギカイ,公益社団法人読書推進運動協議会,http://www.dokusyo.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンニホンコウタレンメイ,公益社団法人日本小唄連盟,http://www.kouta-renmei.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンニホンショウギレンメイ,公益社団法人日本将棋連盟,http://www.shogi.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキシャダンホウジンフデノトモショドウカイ,公益社団法人筆の友書道会,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
タイトウクゲイジュツブンカザイダン,公益財団法人台東区芸術文化財団,https://www.taitogeibun.net/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業"
コウエキザイダンホウジニガシブンカトシキョウカイ,公益財団法人伊賀市文化都市協会,https://www.bunto.com,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンオオイタケンゲイジュツブンカスポーツシンコウザイダン,公益財団法人大分県芸術文化スポーツ振興財団,https://zaidan.emo.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンニホンコウツウブンカキョウカイ,公益財団法人日本交通文化協会,http://jptca.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンニホンコウマンジカイ,公益社団法人日本紅卍字会,http://www.jprss.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンヨコハマカントリー・アンド・アスレティック・クラブ,公益社団法人横浜カントリー・アンド・アスレティック・クラブ,https://ycac.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンコクミンカイカン,公益社団法人國民會館,http://www.kokuminkaikan.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
国政の健全な運営の確保に資することを目的とする事業
地域社会の健全な発展を目的とする事業
公正かつ自由な経済活動の機会の確保及び促進並びにその活性化による国民生活の安定向上を目的とする事業"
コウエキザイダンホウジンキョウトブンカコウリュウコンベンションビューロー,公益財団法人京都文化交流コンベンションビューロー,http://hellokcb.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　ヒラノクカクセイリキネンカイカン,公益財団法人平野区画整理記念会館,http://kinenkaikan.com/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンアゲオシチイキシンコウコウシャ,公益財団法人上尾市地域振興公社,http://www.ageo-kousya.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンイシカワブンカシンコウザイダン,公益財団法人石川文化振興財団,https://www.ishikawafoundation.org/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンカケガワシブンカザイダン,公益財団法人掛川市文化財団,https://k-kousya.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンカワゴエシシセツカンリコウシャ,公益財団法人川越市施設管理公社,http://www.kfp.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンサイキョウキョウイクブンカシンコウザイダン,公益財団法人西京教育文化振興財団,http://secf.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンシキシブンカスポーツシンコウコウシャ,公益財団法人志木市文化スポーツ振興公社,http://www.sbs.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンシモダシシンコウコウシャ,公益財団法人下田市振興公社,http://shimodapsi.com/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンジョウヨウシミンヨカカツドウセンター,公益財団法人城陽市民余暇活動センター,http://www.bunkaparcjoyo.net/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンシロイシチョウブンカシンコウザイダン,公益財団法人白石町文化振興財団,http://www.fureaikyou.com/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンツクバブンカシンコウザイダン,公益財団法人つくば文化振興財団,http://www.tcf.or.jp,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジントットリケンスポーツキョウカイ,公益財団法人鳥取県スポーツ協会,http://www.sports-tottori.com,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンナルオカイ,公益財団法人鳴尾会,,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンハシモトシブンカスポーツシンコウコウシャ,公益財団法人橋本市文化スポーツ振興公社,http://www.cypress.ne.jp/bunsupo/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンハチオウジシガクエントシブンカフレアイザイダン,公益財団法人八王子市学園都市文化ふれあい財団,https://www.hachiojibunka.or.jp/,"文化及び芸術の振興を目的とする事業
教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
